ea1,ea2
297,600
297,185
476,297
476,173
476,170
476,603
476,189
433,297
433,173
433,170
433,603
433,189
433,130
433,350
433,161
433,572
433,82
433,285
433,218
170,510
170,85
170,190
170,148
170,357
170,37
170,10
170,135
170,105
170,23
170,413
170,168
170,476
170,433
170,292
170,161
170,225
170,183
603,476
603,433
603,292
603,161
603,225
603,183
603,218
603,167
603,605
603,360
603,340
603,540
603,571
189,476
189,433
189,292
189,161
189,225
189,183
189,543
292,297
292,173
292,170
292,603
292,189
292,34
292,74
292,26
292,440
292,192
225,297
225,173
225,170
225,603
225,189
225,34
183,297
183,173
183,170
183,603
183,189
183,543
183,301
183,422
183,162
183,467
183,375
183,185
183,259
183,206
183,55
183,39
183,221
183,327
183,58
183,438
183,450
183,545
183,283
183,40
183,286
183,382
183,535
183,408
183,463
183,36
183,163
183,505
183,201
183,91
183,359
183,370
183,94
183,337
183,172
183,484
183,574
183,291
183,571
183,580
183,343
183,454
183,18
183,514
183,60
183,470
183,195
183,429
183,344
183,589
183,493
183,537
183,323
183,253
183,5
183,354
183,202
183,251
183,27
183,427
183,164
183,174
183,399
183,65
183,122
183,333
586,161
586,304
586,199
586,167
107,161
107,304
107,199
107,167
304,586
304,107
304,583
199,586
199,107
199,583
199,543
199,359
199,370
583,161
583,304
583,199
583,167
167,586
167,107
167,583
167,603
167,580
167,393
167,119
167,276
167,577
167,114
167,76
167,269
167,363
167,154
167,509
167,57
167,290
167,15
167,252
167,463
167,36
167,163
167,505
167,201
167,91
541,510
541,85
541,190
541,148
541,357
541,37
541,10
541,135
541,105
541,23
541,413
541,168
135,272
135,277
135,435
135,4
135,246
135,33
135,579
135,66
135,113
135,541
135,462
135,236
135,562
135,177
135,389
135,156
135,182
135,217
135,458
135,320
135,516
135,327
135,401
135,378
135,170
135,428
135,0
135,29
135,46
135,500
135,62
135,41
135,73
135,56
135,169
135,118
135,203
135,592
135,3
135,207
135,568
135,6
135,460
135,153
135,376
462,510
462,85
462,190
462,148
462,357
462,37
462,10
462,135
462,105
462,23
462,413
462,168
236,510
236,85
236,190
236,148
236,357
236,37
236,10
236,135
236,105
236,23
236,413
236,168
562,510
562,85
562,190
562,148
562,357
562,37
562,10
562,135
562,105
562,23
562,413
562,168
562,254
562,337
177,510
177,85
177,190
177,148
177,357
177,37
177,10
177,135
177,105
177,23
177,413
177,168
389,510
389,85
389,190
389,148
389,357
389,37
389,10
389,135
389,105
389,23
389,413
389,168
156,510
156,85
156,190
156,148
156,357
156,37
156,10
156,135
156,105
156,23
156,413
156,168
156,139
156,408
305,272
305,356
305,75
305,250
305,35
305,182
305,456
305,251
421,272
421,356
421,75
421,250
421,35
421,182
421,456
421,251
365,272
365,356
365,75
365,250
365,35
365,182
365,456
365,251
356,305
356,161
356,421
356,365
356,481
356,300
356,411
356,270
356,542
75,305
75,161
75,421
75,365
75,218
250,305
250,161
250,421
250,365
250,585
250,451
250,216
250,318
250,502
250,437
250,119
250,535
250,90
250,554
250,370
250,436
250,597
250,219
250,327
250,283
250,306
250,531
250,287
250,526
35,305
35,161
35,421
35,365
182,510
182,85
182,190
182,148
182,357
182,37
182,10
182,135
182,105
182,23
182,413
182,168
182,305
182,161
182,421
182,365
182,451
182,216
182,318
182,502
182,437
182,543
182,27
182,561
182,524
182,593
182,132
182,288
182,15
182,257
456,305
456,161
456,421
456,365
456,543
251,305
251,161
251,421
251,365
251,386
251,565
251,491
251,183
251,447
251,540
312,254
312,337
254,312
254,562
337,312
337,562
337,376
337,500
337,183
337,565
337,491
337,447
337,540
467,550
467,403
467,149
467,226
467,133
467,297
467,571
467,52
467,46
467,320
467,415
467,474
467,590
467,503
467,536
467,232
467,183
467,552
467,237
467,409
467,444
467,240
467,553
467,604
467,308
467,267
467,360
467,127
467,490
467,101
467,501
467,298
467,558
467,288
467,341
467,347
467,504
550,467
403,467
591,178
591,112
591,175
591,419
591,435
591,385
591,270
591,378
591,61
591,599
591,56
591,253
591,153
591,83
591,160
591,518
591,464
591,46
591,207
591,139
591,408
591,191
591,42
465,139
465,408
465,23
445,139
445,408
121,178
121,112
121,175
121,419
121,435
121,385
121,270
121,378
121,61
121,599
121,56
121,253
121,153
121,83
121,160
121,518
121,464
121,46
121,207
121,139
121,408
121,191
121,42
98,139
98,408
98,319
139,178
139,112
139,175
139,419
139,435
139,385
139,270
139,378
139,61
139,599
139,56
139,253
139,153
139,83
139,160
139,518
139,464
139,46
139,207
139,591
139,465
139,445
139,121
139,98
139,417
139,308
139,479
139,41
139,522
139,145
139,156
139,523
139,498
139,218
417,139
417,408
417,173
417,379
417,152
417,97
417,31
417,295
417,506
417,604
417,308
417,267
417,360
417,127
417,490
417,101
417,501
417,298
417,558
417,288
417,341
417,347
417,504
308,139
308,408
308,360
308,340
308,540
308,571
308,386
308,565
308,449
308,252
308,258
308,517
308,417
308,371
308,482
